BPS,PBR,PER,ROE,company,price
1591.0,5.83,5414.52,9.31,A000050,14000.0
337.0,24.69,980.25,3.23,A000020,11550.0
-855.0,-1.06,-86.23,-18.59,A000040,713.0
3481.0,19.25,3077.36,3.19,A000070,57800.0
588.0,80.44,2547.07,0.85,A000100,51900.0
-594.0,-48.8,202.85,4.34,A000080,36000.0
18218.0,3.86,1602.57,6.81,A000150,37600.0
-156.0,-10.3,688.54,-1.95,A000180,1480.0
17228.0,5.25,2685.75,11.65,A000210,92300.0
1741.0,89.01,2489.33,2.95,A000120,161000.0
-903.0,-14.62,920.51,4.98,A000140,16300.0
616.0,18.43,970.23,8.88,A000220,11650.0
-1946.0,-5.44,1163.63,-8.14,A000230,8950.0
1627.0,8.85,7096.88,20.16,A000240,10100.0
473.0,75.3,1344.45,13.51,A000250,41550.0
4506.0,9.83,1298.17,3.46,A000270,34250.0
152.0,5.09,78.54,7.47,A000300,655.0
339.0,36.82,4455.16,2.83,A000320,9750.0
143.0,35.99,2283.66,2.08,A000390,4920.0
258.0,13.13,1484.11,2.81,A000430,3065.0
99.0,81.87,1583.15,0.97,A000440,8850.0
6088.0,14.59,2990.05,2.82,A000480,74200.0
131.0,43.33,827.87,2.94,A000490,5200.0
1314.0,17.74,1166.19,0.86,A000500,17300.0
121.0,174.02,898.21,3.98,A000520,18750.0
8382.0,6.98,3993.36,12.61,A000590,49700.0
3220.0,33.39,2778.6,6.86,A000640,89900.0
506.0,138.47,326.38,0.94,A000650,58600.0
2766.0,34.03,1287.01,10.05,A000660,81500.0
126504.0,5.1,35443.81,2.74,A000670,510000.0
-877.0,-2.64,50.45,-5.35,A000680,1895.0
156.0,42.59,114.79,-2.13,A000700,5900.0
3656.0,11.57,1138.52,4.98,A000720,34200.0
-1615.0,-9.6,626.83,-2.74,A000760,13100.0
3388.0,11.81,1870.54,3.33,A000850,31500.0
2250.0,9.05,7964.69,-0.59,A000860,15650.0
919.0,27.21,834.76,2.23,A000880,20100.0
-131.0,-8.65,26.33,-14.54,A000890,841.0
-1012.0,-3.96,1180.01,5.13,A000910,6420.0
-23962.0,-0.64,817.4,-22.18,A000950,12400.0
2351.0,11.74,226.34,22.45,A000990,28600.0
9.0,213.43,495.43,17.51,A001000,1725.0
-2096.0,-1.94,-172.39,0.53,A001020,1320.0
7491.0,12.9,2527.96,4.47,A001040,91900.0
-1133.0,-26.14,344.1,-3.72,A001060,34650.0
-2943.0,-6.85,2432.33,-8.3,A001070,21700.0
737.0,20.41,515.19,1.28,A001120,15650.0
10055.0,14.67,8705.68,2.51,A001130,133000.0
-424.0,-5.75,167.59,-1.09,A001140,2320.0
-3534.0,-1.21,1227.26,-6.64,A001210,3330.0
-718.0,-8.29,85.2,2.91,A001230,4265.0
-207.0,-10.72,81.11,1.5,A001250,1710.0
393.0,28.74,83.48,2.04,A001260,11800.0
357.0,6.89,348.07,12.59,A001340,2780.0
117.0,35.71,295.89,-14.52,A001360,3900.0
17.0,102.96,638.5,3.07,A001380,1310.0
7569.0,1.59,470.48,5.7,A001390,14200.0
71.0,56.86,768.21,0.31,A001420,3390.0
480.0,31.78,702.54,1.49,A001430,9720.0
-14.0,-43.97,45.19,2.14,A001440,771.0
33063.0,7.15,10280.96,13.71,A001460,207000.0
58.0,12.38,139.77,2.19,A001470,717.0
-2.0,-882.76,732.5,-3.73,A001520,1430.0
5025.0,14.75,4258.69,5.17,A001530,64500.0
194.0,55.29,2234.27,1.55,A001540,11450.0
-25.0,-621.51,88.14,1.36,A001550,16650.0
640.0,12.16,1929.38,8.54,A001560,5840.0
-247.0,-9.71,167.7,5.33,A001570,3020.0
-32.0,-22.36,499.52,-2.27,A001620,579.0
8988.0,11.24,3640.1,11.96,A001630,119500.0
2976.0,7.79,2845.79,4.38,A001680,25100.0
-530.0,-11.21,249.53,0.84,A001740,5190.0
793.0,27.05,470.07,1.37,A001770,21600.0
-98.0,-28.15,441.99,2.69,A001780,1960.0
1533.0,13.02,1397.14,2.45,A001790,18300.0
772.0,23.05,5921.75,12.68,A001800,14050.0
61.0,37.01,1605.07,0.85,A001810,2030.0
2852.0,18.34,1312.71,14.65,A001820,53700.0
14.0,340.35,294.19,0.09,A001840,5130.0
6265.0,3.17,503.53,11.17,A001880,21400.0
2408.0,5.31,3409.24,4.87,A001940,11450.0
-1244.0,-14.11,867.21,2.83,A002020,17400.0
22002.0,4.7,11553.62,10.25,A002030,80500.0
-32.0,-63.33,1448.1,-0.23,A002070,1410.0
209.0,54.24,1712.11,3.82,A002100,12450.0
180.0,18.71,288.85,3.02,A002140,4535.0
516.0,17.32,1447.72,5.24,A002150,8770.0
14733.0,4.07,2143.7,25.73,A002170,53700.0
4505.0,4.39,1139.43,7.1,A002200,18650.0
-328.0,-48.9,180.07,-8.7,A002210,12900.0
-478.0,-4.24,1246.99,-4.23,A002220,1655.0
129.0,31.29,1384.36,-3.43,A002230,4420.0
499.0,41.18,7018.21,1.93,A002240,14400.0
33151.0,12.46,17366.63,2.77,A002270,361000.0
265.0,13.59,848.75,4.76,A002290,2820.0
-4330.0,-3.94,1685.29,0.49,A002300,17150.0
6860.0,4.37,1205.67,10.19,A002310,31100.0
-261.0,-114.96,1107.01,4.4,A002320,53700.0
1135.0,8.04,2732.18,10.25,A002350,5890.0
-26.0,-39.73,76.3,-2.22,A002360,912.0
-21079.0,-11.08,9923.37,4.9,A002380,143500.0
2538.0,8.93,4986.99,5.81,A002390,23500.0
794.0,4.12,243.86,4.15,A002410,3215.0
-2309.0,-25.03,170.85,-8.87,A002420,49400.0
151.0,12.3,455.72,10.43,A002450,1480.0
616.0,18.9,511.1,6.56,A002460,10800.0
13076.0,11.43,4215.4,6.33,A002600,150000.0
-5676.0,-3.0,4458.99,1.23,A002620,19500.0
-541.0,-3.57,41.67,-8.43,A002680,1900.0
74.0,33.37,1638.64,0.77,A002690,2035.0
60.0,30.66,99.05,1.08,A002700,2210.0
219.0,12.4,382.91,2.94,A002710,2075.0
-259.0,-17.89,127.7,5.01,A002720,7130.0
11.0,188.42,267.49,1.75,A002760,2130.0
139.0,16.65,24.3,5.13,A002780,2070.0
1498.0,55.21,7355.32,7.93,A002790,57800.0
141.0,48.4,643.26,3.43,A002800,7380.0
1941.0,8.19,3952.33,3.35,A002810,14200.0
-2973.0,-1.46,1693.3,-4.11,A002820,3580.0
6164.0,9.25,3246.25,12.9,A002840,69800.0
562.0,2.66,342.99,7.24,A002870,1370.0
94.0,9.51,92.88,2.44,A002880,712.0
54.0,24.11,123.88,2.22,A002900,1020.0
670.0,3.97,1978.5,4.72,A002920,2565.0
16174.0,19.97,1298.85,12.12,A002960,253000.0
323.0,35.65,138.41,3.47,A002990,6910.0
-111.0,-129.06,1062.92,5.67,A003000,26400.0
365.0,11.83,1646.88,4.52,A003010,6200.0
-742.0,-63.9,4429.38,2.39,A003030,32050.0
-47.0,-28.69,102.53,-3.85,A003060,2000.0
1911.0,5.07,273.72,3.6,A003070,9640.0
-143.0,-31.13,933.72,-10.4,A003080,4205.0
1074.0,12.06,2247.59,7.88,A003090,17250.0
758.0,21.9,4624.5,16.73,A003100,14700.0
2526.0,32.5,3145.9,-2.6,A003120,83400.0
21.0,169.79,717.56,-5.97,A003160,3745.0
2940.0,24.35,5836.41,2.74,A003200,56800.0
1348.0,12.47,2012.37,11.05,A003220,15300.0
7906.0,11.37,645.92,14.4,A003230,118500.0
122200.0,8.67,58834.95,9.99,A003240,740000.0
2304.0,19.06,6579.56,5.06,A003300,46950.0
51.0,27.61,160.72,3.21,A003310,1340.0
-328.0,-94.56,2069.52,1.71,A003350,37000.0
594.0,14.43,20530.06,4.17,A003380,7100.0
259.0,21.86,266.2,14.85,A003410,5070.0
1025.0,2.53,135.1,4.38,A003480,3500.0
-6556.0,-4.35,77.93,2.03,A003490,20700.0
28.0,241.07,26.58,4.53,A003520,5270.0
6141.0,12.02,2054.04,15.57,A003550,63100.0
-453.0,-3.85,91.44,-7.09,A003560,1555.0
501.0,13.2,700.47,5.13,A003570,5400.0
-901.0,-8.98,441.48,-12.44,A003580,6520.0
-2290.0,-0.91,-46.47,-7.78,A003620,1620.0
10189.0,7.79,3069.75,5.4,A003650,57500.0
1672.0,29.46,3174.65,6.06,A003670,55500.0
-2868.0,-1.85,34.12,-3.06,A003680,5250.0
-59.0,-16.86,156.81,-0.81,A003720,1320.0
525.0,7.6,553.0,14.78,A003780,3370.0
2587.0,9.15,3875.42,16.43,A003800,44500.0
16958.0,5.28,6382.75,4.27,A003830,87400.0
729.0,22.77,1249.52,7.45,A003850,14750.0
32968.0,13.33,20997.99,0.04,A003920,299500.0
10553.0,1.52,681.88,3.73,A003960,15750.0
6526.0,6.92,1080.74,14.46,A004000,37850.0
128.0,245.36,2308.48,1.62,A004020,21850.0
48.0,18.93,103.61,0.16,A004060,657.0
213.0,44.66,1220.19,2.44,A004080,9300.0
-11586.0,-8.93,4255.9,1.26,A004090,97800.0
-243.0,-6.4,178.39,3.31,A004140,2115.0
536.0,7.33,141.0,2.18,A004150,3055.0
53472.0,5.4,6741.18,7.32,A004170,245000.0
1907.0,4.43,87.92,9.21,A004200,8720.0
343.0,10.92,1214.46,4.37,A004250,3725.0
-59.0,-53.42,396.95,0.63,A004270,2810.0
240.0,47.94,6787.52,2.23,A004360,10350.0
11672.0,20.61,6571.96,3.36,A004370,315500.0
156.0,74.6,1701.67,3.21,A004380,11500.0
-6.0,-29.78,-26.5,0.58,A004410,172.0
1448.0,10.74,3525.66,7.28,A004430,14450.0
211.0,36.16,2140.21,1.83,A004440,6000.0
3876.0,11.75,1325.37,7.84,A004450,40000.0
5597.0,6.66,15105.26,9.28,A004490,28700.0
-322.0,-7.41,271.39,0.87,A004540,4055.0
1434.0,6.28,431.05,4.98,A004560,7350.0
405.0,10.33,5353.45,13.24,A004590,4590.0
2328.0,5.39,2885.43,4.74,A004650,15000.0
9327.0,9.06,6464.14,2.47,A004690,65100.0
2181.0,17.88,653.21,14.64,A004700,42350.0
234.0,38.28,77.17,2.62,A004710,7280.0
26.0,244.35,888.84,1.25,A004720,6460.0
20.0,196.86,202.48,16.49,A004770,3380.0
337.0,12.48,1246.9,4.24,A004780,4105.0
4921.0,16.08,6917.55,7.02,A004800,67300.0
11.0,269.69,694.94,0.54,A004830,3565.0
445.0,11.81,4586.2,4.84,A004840,7150.0
-388.0,-4.47,320.51,-2.91,A004870,1370.0
1547.0,37.44,2941.54,-0.28,A004890,55900.0
-181.0,-30.44,2735.75,-0.18,A004910,5580.0
-237.0,-5.79,-25.86,-7.67,A004920,1125.0
6210.0,2.38,709.97,7.67,A004960,14000.0
644.0,18.46,6341.77,-1.15,A004970,10200.0
690.0,10.11,195.88,2.94,A004980,7270.0
-3395.0,-11.47,43217.52,1.97,A004990,34300.0
-1648.0,-6.06,834.79,-2.4,A005010,6640.0
-510.0,-0.92,-67.22,-4.36,A005030,363.0
-251.0,-35.44,365.13,-1.49,A005070,11600.0
-41.0,-745.42,1054.03,0.4,A005090,29350.0
-124.0,-21.85,55.52,10.67,A005110,2475.0
250.0,10.38,626.35,4.89,A005160,2720.0
4168.0,13.44,1096.86,5.21,A005180,63100.0
2492.0,7.3,2281.07,12.59,A005190,17000.0
60.0,372.73,3024.62,1.99,A005250,21400.0
1138.0,14.71,1228.25,11.98,A005290,17900.0
-16243.0,-8.62,43586.75,4.43,A005300,103500.0
-186.0,-6.64,295.22,-1.9,A005320,3235.0
-92.0,-39.86,283.95,1.39,A005360,3580.0
10761.0,11.2,4865.48,3.41,A005380,98000.0
-754.0,-8.12,125.48,-1.28,A005420,8530.0
5136.0,8.8,1686.28,4.17,A005430,41600.0
561.0,21.13,3276.46,2.88,A005440,8300.0
-1841.0,-2.69,-14.08,4.55,A005450,4945.0
21048.0,11.24,9630.2,6.01,A005490,181000.0
812.0,30.74,1489.22,18.23,A005500,27700.0
2341.0,37.25,735.34,1.88,A005610,70200.0
3109.0,1.96,1476.83,5.96,A005670,5780.0
428.0,21.09,4562.31,2.31,A005680,8130.0
72.0,117.1,72.23,6.04,A005690,24100.0
1950.0,3.04,3056.33,3.98,A005710,5240.0
1037.0,5.84,3525.24,9.83,A005720,4290.0
-1342.0,-7.75,4196.68,3.74,A005740,9030.0
132.0,31.62,865.55,1.75,A005750,4355.0
4238.0,23.6,6726.32,0.81,A005800,89300.0
3063.0,11.09,1596.14,4.08,A005810,27550.0
1348.0,13.46,773.33,5.29,A005820,16450.0
-60.0,-30.18,213.4,1.29,A005860,2010.0
564.0,12.89,73.4,4.5,A005870,6000.0
3705.0,6.21,357.52,12.81,A005880,17300.0
3166.0,17.63,28856.02,12.05,A005930,50700.0
-481.0,-22.04,246.75,0.62,A005950,9720.0
2803.0,3.05,437.38,4.8,A005960,9910.0
1646.0,6.44,9209.78,5.31,A005990,8950.0
12632.0,16.74,5781.6,7.22,A006040,226000.0
31.0,62.76,207.37,1.36,A006050,2775.0
1066.0,11.17,953.48,7.96,A006060,8460.0
1402.0,5.4,340.88,7.21,A006090,8040.0
450.0,9.84,1878.7,3.37,A006110,4015.0
8844.0,2.96,2400.51,3.46,A006120,28350.0
