id,title,sub_title,content,if_wiki,if_sub,chapter,sub_chapter
0,0.주식이 뭐냐고요? 알아봅시다,,"<p>직장에서 기계를 다루는 엔지니어로 20년 넘게 일했고, 주식투자를 시작한지는 15년이 넘었네요.

									지나온 세월을 회고하며 잠시 이야기를 하고자 합니다.

									직장에서 20년동안 지켜보니 업무적으로 탁월하게 인정받는 1%의 사람이 있고 그저그런 평범한 99%의 사람들이 있었습니다.

									그리고 주식투자는 통계적으로 95%의 개인투자자가 손실을 보고 5%정도의 개인투자자만 수익을 본다고 합니다.

									그렇다면 직장에서 인정받는 1%는 다른 99%와 무슨 차이가 있으며, 수익을 보는 5%의 개인투자자는 다른 95%의 손실보는 개인투자자와 무슨 차이가 있는지 20년 가까운 세월동안 지켜보았습니다.

									결론부터 말하면 ""메모"" 입니다.

									</p>

									<p>직장에서 탁월하게 인정받는 1%의 직원은 작업이 끝나고서도 혼자서 개인 노트에 열심히 메모를 하며 마친 업무에 대해서 복기를 하고 자신의 단점과 장점을 꼼꼼하게 정리하고 있었습니다. 그런 노트가 쌓이고 쌓이더니 그 사람은 다른 사람과는 차원이 다른 실력자가 되어 있더군요. 반면 99%의 대부분의 직원은 업무가 끝나면 쉬거나 잡담을 하면서 힘들게 배운 업무에 대해서 곧장 잊어버리고 다음에 비슷한 작업이 나오면 또 허둥지둥 되면서 시행착오를 반복하더군요.

									주식투자도 마찬가지입니다. 제 주변의 개인투자자들은 흔히 말하는 '단타' 를 하면서 주식을 사고 팔고를 수없이 반복하면서 자신이 이 종목을 왜 사고 파는지 매매일지를 작성하지 않더군요. 그러니 계속 손실을 반복하게 되고 실력이 쌓이지 않더군요.

									제 주변에는 수익을 내거나 귀감이 될 개인투자자가 없습니다. 그래서 저는 인터넷, 언론, 서적을 통해서 성공한 5%의 투자자들을 찾아나섰습니다. 그리고 그 사람들의 공통점을 발견했습니다. 바로 ""메모' 였습니다.

									성공한 5%의 투자자중에서 메모를 하지 않는 사람이 없었으며, 실패한 95%의 투자자에서 메모하는 사람은 없었습니다.

									</p>



									<br><br>",TRUE,FALSE,0,
1,0.주식이 뭐냐고요? 알아봅시다,A.주식이 대체 뭐에요?,"<p>

									주식 개념 설명하기



									기업을 조각내서 주주들에게 나눠주는 것

									기업은 주주에게 수익을 환원하는 게 기본적인 자본주의 사회의 룰

									배당금의 형태이든, 증자를 해서 주식을 더 나눠주든, 사업을 열심히해서 기업의 가치를 늘리든 간에 뭐든~~



									코스피와 코스닥

									그리고 해외주식

									펀드



									그럼 펀드는 뭐죠?

									-> 펀드매니저, 자산운용가들이 위탁받은 돈을 굴려서 수익을 내주는 것. 운용수수료를 필연적으로 지불하게 되어있음. 선택은 자유인데 그냥 주식하자~~~(내 가치관임)

									</p>



									<hr class=""major"" />



									<h2>Interdum sed dapibus</h2>

									<p>Donec eget ex magna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Pellentesque venenatis dolor imperdiet dolor mattis sagittis. Praesent rutrum sem diam, vitae egestas enim auctor sit amet. Pellentesque leo mauris, consectetur id ipsum sit amet, fergiat. Pellentesque in mi eu massa lacinia malesuada et a elit. Donec urna ex, lacinia in purus ac, pretium pulvinar mauris. Curabitur sapien risus, commodo eget turpis at, elementum convallis elit. Pellentesque enim turpis, hendrerit.</p>

									<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis dapibus rutrum facilisis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Etiam tristique libero eu nibh porttitor fermentum. Nullam venenatis erat id vehicula viverra. Nunc ultrices eros ut ultricies condimentum. Mauris risus lacus, blandit sit amet venenatis non, bibendum vitae dolor. Nunc lorem mauris, fringilla in aliquam at, euismod in lectus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. In non lorem sit amet elit placerat maximus. Pellentesque aliquam maximus risus, vel sed vehicula. Interdum et malesuada fames ac ante ipsum primis in faucibus. Pellentesque venenatis dolor imperdiet dolor mattis sagittis. Praesent rutrum sem diam, vitae egestas enim auctor sit amet. Pellentesque leo mauris, consectetur id ipsum sit amet, fersapien risus, commodo eget turpis at, elementum convallis elit. Pellentesque enim turpis, hendrerit tristique lorem ipsum dolor.</p>



									<hr class=""major"" />



									<h2>Magna etiam veroeros</h2>

									<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis dapibus rutrum facilisis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Etiam tristique libero eu nibh porttitor fermentum. Nullam venenatis erat id vehicula viverra. Nunc ultrices eros ut ultricies condimentum. Mauris risus lacus, blandit sit amet venenatis non, bibendum vitae dolor. Nunc lorem mauris, fringilla in aliquam at, euismod in lectus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. In non lorem sit amet elit placerat maximus. Pellentesque aliquam maximus risus, vel sed vehicula.</p>

									<p>Interdum et malesuada fames ac ante ipsum primis in faucibus. Pellentesque venenatis dolor imperdiet dolor mattis sagittis. Praesent rutrum sem diam, vitae egestas enim auctor sit amet. Pellentesque leo mauris, consectetur id ipsum sit amet, fersapien risus, commodo eget turpis at, elementum convallis elit. Pellentesque enim turpis, hendrerit tristique lorem ipsum dolor.</p>



									<hr class=""major"" />



									<h2>Lorem aliquam bibendum</h2>

									<p>Donec eget ex magna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Pellentesque venenatis dolor imperdiet dolor mattis sagittis. Praesent rutrum sem diam, vitae egestas enim auctor sit amet. Pellentesque leo mauris, consectetur id ipsum sit amet, fergiat. Pellentesque in mi eu massa lacinia malesuada et a elit. Donec urna ex, lacinia in purus ac, pretium pulvinar mauris. Curabitur sapien risus, commodo eget turpis at, elementum convallis elit. Pellentesque enim turpis, hendrerit.</p>

									<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis dapibus rutrum facilisis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Etiam tristique libero eu nibh porttitor fermentum. Nullam venenatis erat id vehicula viverra. Nunc ultrices eros ut ultricies condimentum. Mauris risus lacus, blandit sit amet venenatis non, bibendum vitae dolor. Nunc lorem mauris, fringilla in aliquam at, euismod in lectus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. In non lorem sit amet elit placerat maximus. Pellentesque aliquam maximus risus, vel sed vehicula.</p>

									<br><br>",TRUE,TRUE,0,0
2,0.주식이 뭐냐고요? 알아봅시다,B.주식하면 패가망신하나요?,<p> 텍스트를 주세요 </p>,TRUE,TRUE,0,1
3,0.주식이 뭐냐고요? 알아봅시다,C.어떻게 하면 주식 잘 할 수 있어요?,<p> 용삼님.. 텍스트좀.. </p>,TRUE,TRUE,0,2
4,0.주식이 뭐냐고요? 알아봅시다,D.왜 이런 서비스를 만들었나요?,<p> 용삼님 살아계시죠? </p>,TRUE,TRUE,0,3
5,1.일단 시작해보자! 따라만 와!,,<p> 어디로 가면 될까요 </p>,TRUE,FALSE,1,
6,1.일단 시작해보자! 따라만 와!,A.증권사 어플 다운로드와 가입,<p> 저는 신한금융투자 계좌가 있어요 근데 돈은 없네요 </p>,TRUE,TRUE,1,0
7,1.일단 시작해보자! 따라만 와!,B.주식 한 번 사보시겠어요?,<p> 제 전재산을 털면 삼전 몇주를 살 수 있을까요? </p>,TRUE,TRUE,1,1
8,1.일단 시작해보자! 따라만 와!,C.주식 떡상했나요? 팔아봅시다.,<p> 제 인생은 떡락중입니다. 인생코인 실패했어요 </p>,TRUE,TRUE,1,2
9,1.일단 시작해보자! 따라만 와!,D.차트 보는 법!,<p> 용삼님.. 깃헙에 똑같은 더미데이터 복붙해서 자꾸 올리지 마시구 여기에 올려주시면 감사하겠습니다. 파일이 늘어났길래 오오 일하셨구나 했는데 아무것도 없네요 허허 글 쓰신거겠죠? </P.,TRUE,TRUE,1,3
