code,name,industry_code,current_asset,total_liabilities,current_liabilities,fixed_liabilities,capital,ebit,financing_cost,ni,ci
A000020,동화약품,32100,235456988,75153959,55714627,19439332,300874594,9917746,956030,9393855,7088100
A000040,KR모터스,33100,52699087,108871143,86361469,22509674,35210017,-24650440,8025956,-41041685,-27477429
A000050,경방,74700,264861016,629189292,192380293,436808999,741553199,32020530,15303308,43621631,42978501
A000070,삼양홀딩스,137100,1259477808,1560007367,527130896,1032876470,2029506524,79376318,35703850,62043854,53561837
A000080,하이트진로,31100,782267639,2237663549,1358865968,878797581,1033196057,88246564,47254894,-42394951,-73498186
A000100,유한양행,32100,1116950744,467208887,352226654,114982233,1649991372,12535759,5559538,36612326,32797479
A000120,CJ대한통운,84900,2322199311,5454770838,2508694254,2946076584,3655245272,307186346,181606977,50889855,59957354
A000140,하이트진로홀딩스,137100,805127511,2854140490,1658743417,1195397073,982563610,100944135,69172198,-40132480,-75300486
A000150,두산,137100,11048031756,22350207441,16205783142,6144424299,6819539375,1261859934,1203320223,433106773,623836177
A000180,성창기업지주,137100,80615572,177896782,94993872,82902911,525405462,-2951399,3041825,-10875066,37101551
A000210,대림산업,64100,6739682950,6708517368,4271441267,2437076101,6736706809,1130120991,116444779,710307662,710072161
A000220,유유제약,32100,65053890,47173960,42495630,4678330,90544667,8074727,1807948,5563343,5017670
A000230,일동홀딩스,137100,263282499,484530688,324399182,160131506,321094476,-23796281,4596844,-39954888,-45620017
A000240,한국테크놀로지그룹,137100,524366995,228514097,135124745,93389352,3378572141,170875982,8821657,163291036,171345305
A000250,삼천당제약,32100,162492554,66954254,45205983,21748272,223196712,25210117,914363,19599720,19500241
A000270,기아차,33000,21555416000,26366660000,17276646000,9090014000,28978138000,2009680000,292273000,1826659000,2095512000
A000300,대유플러스,32600,858634946,921723896,861946594,59777302,168242849,39607230,5670592,30280987,26942669
A000320,노루홀딩스,137100,452835629,439906013,271365815,168540198,567466289,25013197,11314818,19914490,19929105
A000390,삼화페인트,32000,275828523,278473245,217656823,60816422,282167454,11248670,6780475,3893556,4406520
A000430,대원강업,33000,321885481,460690034,371988120,88701914,587299075,26938916,10677033,21198893,26172116
A000440,중앙에너비스,74600,4675590,16451398,14349625,2101773,45123992,638178,412923,615333,561498
A000480,조선내화,32300,365763790,365726925,280419993,85306932,703332447,21328775,11357593,32214373,26023442
A000490,대동공업,32900,463844520,596185582,470952795,125232787,220811970,24519413,12755357,3001676,2939088
A000500,가온전선,32800,264775008,255845320,168070024,87775296,256728215,7118670,7841513,5462904,-470065
A000520,삼일제약,32100,79199814,121602282,68155719,53446563,62272436,4822839,4161282,786258,-535658
A000590,CS홀딩스,137100,194780328,28138800,19134828,9003972,286152713,17025222,2231622,16603892,15363154
A000640,동아쏘시오홀딩스,137100,315287124,611673079,414398571,197274508,746903866,52823156,14068143,19975207,19829064
A000650,천일고속,84900,12149418,29041015,17846314,11194701,51003767,560732,299569,722509,-890509
A000660,SK하이닉스,32600,14457602000,16846299000,7874033000,8972266000,47943195000,2712718000,1514869000,2016391000,2110414000
A000670,영풍,32400,1464762876,1134239778,668480586,465759191,3698450518,84396705,48563804,207399649,209509475
A000680,LS네트웍스,74600,267728910,648675752,169990544,478685209,519411342,-21547301,22029936,-69084911,-118737145
A000700,유수홀딩스,137100,444419347,193360417,168741589,24618827,328597373,-7814058,6815906,-2460450,-2105410
A000720,현대건설,64100,13171993000,9511990000,6770867000,2741123000,8714982000,859667000,148370000,573331000,540166000
A000760,이화산업,74600,42669444,104824446,89870070,14954376,177892451,-1689016,3459045,-4760001,-4912185
A000850,화천기공,32900,168245357,78284215,45923999,32360216,296659911,6871972,699199,7454029,11343987
A000860,강남제비스코,32000,178788070,111090443,59914686,51175758,561179870,-1964062,554425,17412514,15212329
A000880,한화,32000,15242686000,164022207000,16002711000,12403942000,18263971000,1125717000,496860000,231054000,1163656000
A000890,보해양조,31100,61929369,87260109,55161120,32098989,80010035,-11053644,2304821,-14682250,-14058083
A000910,유니온,32300,129448998,182382635,130568290,51814346,142790949,10890229,3302058,-12637322,-14688979
A000950,전방,31300,40731933,242056375,205732384,36323992,84475580,-30492233,9604287,-40256251,-40503684
A000990,DB하이텍,32600,426263421,444239080,219715556,224523524,644650730,181292188,19925314,104637012,100072743
A001000,신라섬유,126800,1140675,17706112,15771456,1934656,14455560,732137,586958,227501,209738
A001020,페이퍼코리아,31700,372899056,614819433,335353963,279465471,13041225,-1298140,30511639,-27833230,-28766179
A001040,CJ,137100,11152698283,25766279658,12284676249,13481603409,14615084935,1509154524,1090448593,323842817,468087448
A001060,JW중외제약,32100,335057455,343116046,277983375,65132671,230091819,-19013830,20648005,-25275016,-27578278
A001070,대한방직,31300,89677677,71652141,57348672,14303468,126078156,-12979458,894373,-15955034,-16324157
A001120,LG상사,74600,2484044502,3327366254,2126279483,1201086771,1548616050,134784428,271967418,-14860961,20889980
A001130,대한제분,31000,430988632,245259980,178294173,66965808,759848294,23483614,4734634,16993289,14788738
A001140,국보,84900,87813010,88920023,75280895,13639128,43791816,-968491,2767538,-7734470,-8418971
A001210,금호전기,32800,35536724,56239929,49235234,7004695,16852180,-4175809,7346217,-33237746,-33640609
A001230,동국제강,32400,1940821045,3493909751,2849257001,644652750,1945098686,164555175,170319701,-81691129,-89116384
A001250,GS글로벌,74600,720951579,825321064,672608983,152712081,379923791,58277396,22304777,-16661330,-21078764
A001260,남광토건,64100,141893966,149693739,140334177,9359562,52872926,4821012,560376,3863897,3754247
A001340,백광산업,32000,66433175,161499168,94024816,67474352,167346025,21205477,3529440,16028599,15574781
