BPS,PBR,PER,ROE,code,price
392.0,2.31,-1.06,-113.29,A000040,703.0
10761.0,0.85,25.24,3.15,A000020,15350.0
15351.0,2.55,30.7,8.64,A000080,40200.0
183426.0,0.37,19.25,2.18,A000070,58000.0
28451.0,1.97,23.32,9.55,A000100,55000.0
19950.0,0.66,-14.62,-4.65,A000140,19350.0
28074.0,0.33,5.83,6.02,A000050,12700.0
167554.0,0.98,43.63,2.85,A000120,161000.0
36708.0,0.3,8.76,3.5,A000240,10600.0
89734.0,0.49,-289.41,-0.21,A000150,42600.0
8072.0,0.2,-10.3,-2.14,A000180,1480.0
171637.0,0.52,4.46,12.35,A000210,85600.0
74800.0,0.48,10.49,4.68,A000270,35000.0
12364.0,0.92,18.43,5.41,A000220,13650.0
12183.0,0.87,-5.44,-14.91,A000230,9500.0
7848.0,5.45,82.99,7.0,A000250,41850.0
953.0,0.81,5.09,16.75,A000300,735.0
35133.0,0.28,26.31,1.37,A000320,9740.0
12408.0,0.41,35.99,1.34,A000390,5020.0
7743.0,0.44,13.13,3.39,A000430,3090.0
9747.0,0.69,46.88,1.97,A000440,8860.0
182083.0,0.49,14.59,4.13,A000480,73100.0
10324.0,0.55,43.33,1.46,A000490,5500.0
65308.0,0.36,17.74,2.12,A000500,16800.0
10203.0,2.06,174.02,1.33,A000520,21500.0
196805.0,0.3,6.98,4.35,A000590,58200.0
121392.0,0.89,33.39,2.67,A000640,99300.0
35741.0,1.96,138.47,1.28,A000650,59100.0
75817.0,1.17,13.67,9.45,A000660,85200.0
1893161.0,0.34,5.1,7.4,A000670,502000.0
7067.0,0.33,-2.64,-11.94,A000680,2470.0
9072.0,0.73,42.59,1.83,A000700,6060.0
63624.0,0.56,8.11,7.1,A000720,33900.0
36329.0,0.43,-9.6,-4.35,A000760,13350.0
134845.0,0.3,11.81,2.55,A000850,30450.0
81019.0,0.25,9.05,2.8,A000860,15050.0
52459.0,0.48,9.8,5.48,A000880,24650.0
635.0,1.78,-8.65,-19.66,A000890,818.0
8024.0,0.48,-1.56,-14.93,A000910,5460.0
74136.0,0.21,-0.64,-38.44,A000950,12600.0
18605.0,1.6,7.79,23.41,A000990,28850.0
595.0,3.36,213.43,1.58,A001000,1910.0
1141.0,2.46,-1.94,-91.06,A001020,1255.0
145519.0,0.63,11.59,6.0,A001040,87900.0
10461.0,2.83,-26.14,-10.31,A001060,39100.0
35259.0,0.57,-6.85,-10.27,A001070,22500.0
37492.0,0.41,2.3,19.85,A001120,14700.0
461851.0,0.32,14.67,2.25,A001130,152500.0
1333.0,1.83,-5.75,-36.39,A001140,2045.0
3383.0,1.27,-1.21,-80.13,A001210,3600.0
19860.0,0.38,-14.34,-2.73,A001230,6970.0
4353.0,0.51,-10.72,-4.61,A001250,1790.0
5384.0,2.1,28.74,7.58,A001260,10800.0
3583.0,0.69,5.01,15.71,A001340,2710.0
2423.0,1.73,35.71,5.02,A001360,4000.0
2963.0,0.58,102.96,0.59,A001380,1305.0
26621.0,0.45,1.59,32.69,A001390,13800.0
4391.0,0.92,56.86,1.67,A001420,3495.0
52450.0,0.23,17.45,1.33,A001430,11150.0
349.0,1.76,-43.97,-3.99,A001440,738.0
520430.0,0.45,7.15,6.6,A001460,205000.0
1531.0,0.47,12.38,3.66,A001470,704.0
4063.0,0.35,-882.76,-0.05,A001520,1340.0
271365.0,0.27,14.75,2.55,A001530,64900.0
12937.0,0.83,55.29,1.72,A001540,12050.0
9238.0,1.66,-621.51,-0.27,A001550,15550.0
11195.0,0.69,12.16,7.84,A001560,6120.0
1733.0,1.39,-9.71,-14.85,A001570,2710.0
2665.0,0.27,-22.36,-1.19,A001620,547.0
103988.0,1.2,10.54,12.01,A001630,124500.0
30507.0,0.82,7.77,11.02,A001680,25000.0
10357.0,0.51,9.71,6.09,A001740,5070.0
28118.0,0.76,27.05,2.83,A001770,22750.0
2755.0,1.0,-28.15,-3.55,A001780,1925.0
50588.0,0.39,13.02,3.22,A001790,17850.0
32019.0,0.56,23.05,2.54,A001800,13600.0
9203.0,0.25,37.01,0.66,A001810,1985.0
16787.0,3.41,23.92,15.32,A001820,55400.0
2157.0,2.14,340.35,0.63,A001840,4730.0
30162.0,0.66,3.17,23.04,A001880,23900.0
53446.0,0.24,5.31,5.58,A001940,11550.0
43841.0,0.4,-14.11,-2.6,A002020,19150.0
408663.0,0.25,4.7,6.37,A002030,77000.0
1600.0,1.28,-63.33,-2.12,A002070,1310.0
10302.0,1.1,54.24,2.47,A002100,11500.0
3883.0,0.87,18.71,4.75,A002140,3695.0
7537.0,1.18,17.32,11.19,A002150,8180.0
115202.0,0.52,4.07,14.22,A002170,53300.0
61942.0,0.32,4.39,7.51,A002200,19550.0
2970.0,5.4,-48.9,-13.15,A002210,13350.0
7359.0,0.28,-4.24,-6.98,A002220,1650.0
7496.0,0.54,31.29,1.77,A002230,4480.0
68850.0,0.3,41.18,0.73,A002240,16500.0
810059.0,0.46,9.47,6.11,A002270,355000.0
4744.0,0.76,13.59,5.69,A002290,2730.0
90307.0,0.19,-3.94,-4.81,A002300,17950.0
65302.0,0.46,4.37,10.99,A002310,30150.0
75887.0,0.63,69.23,0.91,A002320,45700.0
15703.0,0.38,9.08,4.36,A002350,5810.0
881.0,1.16,-39.73,-2.84,A002360,852.0
541333.0,0.27,18.68,1.56,A002380,141000.0
24757.0,0.91,8.93,10.78,A002390,29500.0
2819.0,1.16,4.12,32.82,A002410,2900.0
55045.0,1.05,-25.03,-4.11,A002420,57700.0
2685.0,0.69,12.3,6.27,A002450,1480.0
30635.0,0.38,18.9,2.06,A002460,9640.0
215770.0,0.69,11.43,6.15,A002600,146000.0
25632.0,0.66,-3.0,-20.52,A002620,21300.0
1678.0,1.15,-3.57,-29.2,A002680,1820.0
8703.0,0.29,33.37,0.85,A002690,1965.0
986.0,1.88,30.66,6.32,A002700,2180.0
5299.0,0.51,12.4,4.42,A002710,1965.0
3479.0,1.33,-17.89,-7.35,A002720,7500.0
734.0,2.78,188.42,1.48,A002760,1885.0
665.0,3.48,16.65,23.08,A002780,2010.0
38436.0,1.46,43.26,3.65,A002790,54100.0
3595.0,2.04,38.4,3.85,A002800,7740.0
19965.0,0.8,8.19,10.32,A002810,13650.0
17712.0,0.25,-1.46,-15.85,A002820,3405.0
44134.0,1.29,9.25,14.74,A002840,69000.0
2500.0,0.6,2.66,32.25,A002870,1295.0
1032.0,0.87,9.51,9.75,A002880,705.0
903.0,1.43,24.11,5.07,A002900,1025.0
10761.0,0.25,3.97,6.47,A002920,2585.0
75323.0,4.29,19.97,21.3,A002960,255000.0
12176.0,0.58,4.13,15.41,A002990,6860.0
5145.0,7.27,363.13,2.07,A003000,38950.0
9249.0,0.47,11.83,4.54,A003010,5380.0
238819.0,0.2,-63.9,-0.32,A003030,34200.0
968.0,1.33,-28.69,-4.19,A003060,1830.0
20563.0,0.44,3.21,14.52,A003070,8710.0
7390.0,0.6,-31.13,-1.91,A003080,4245.0
14534.0,0.89,12.06,10.43,A003090,28600.0
50714.0,0.33,21.9,1.65,A003100,16100.0
225255.0,0.36,32.5,2.01,A003120,82700.0
4676.0,0.75,169.79,0.48,A003160,3450.0
308735.0,0.23,24.35,1.0,A003200,56700.0
11529.0,1.66,13.57,13.19,A003220,18300.0
47174.0,2.61,11.81,24.55,A003230,127000.0
3777146.0,0.28,8.67,4.34,A003240,746000.0
166986.0,0.26,19.06,1.38,A003300,48400.0
1472.0,0.96,27.61,3.51,A003310,1220.0
13249.0,2.34,-94.56,-3.03,A003350,39000.0
23600.0,0.31,16.08,2.38,A003380,7020.0
3431.0,1.57,18.65,8.25,A003410,5270.0
12788.0,0.2,2.53,8.98,A003480,3120.0
